#timestamp,#frame_is_ok,#U1,#current1,#activepow1
1732551014.269493538,true,226.8,3.3,740.8
1732551014.279246306,true,227.4,3.3,754.7
1732551014.289412834,true,227.4,3.3,754.7
1732551014.299157041,true,227.4,3.3,754.7
1732551014.309411046,true,226.7,3.3,749.9
1732551014.319153468,true,227.5,3.3,746.4
1732551014.329415978,true,227.5,3.3,746.4
1732551014.339069091,true,227.5,3.3,746.4
1732551014.349320595,true,227.5,3.3,746.4
1732551014.359076488,true,227.5,3.3,755.4
1732551014.369346190,true,226.8,3.3,750.6
1732551014.379074813,true,227.5,3.3,755.4
1732551014.389240683,true,227.5,3.3,755.4
1732551014.398905397,true,227.6,3.3,751.8
1732551014.409243999,true,227.6,3.3,751.8
1732551014.418908684,true,226.9,3.3,747.0
1732551014.429239633,true,227.6,3.3,751.8
1732551014.438909186,true,227.7,3.3,747.9
1732551014.449159407,true,227.7,3.3,747.9
1732551014.459404671,true,227.7,3.3,747.9
1732551014.469159374,true,227.0,3.3,743.1
1732551014.479412506,true,227.4,3.4,761.4
1732551014.489156468,true,227.4,3.4,761.4
1732551014.499402631,true,227.4,3.4,761.4
1732551014.509075755,true,227.4,3.4,761.4
1732551014.519327659,true,227.4,3.3,752.4
1732551014.529068250,true,226.7,3.3,747.6
1732551014.539319223,true,227.4,3.3,752.4
1732551014.548995824,true,227.4,3.3,752.4
1732551014.559240195,true,227.5,3.4,760.9
1732551014.568896371,true,227.5,3.4,760.9
1732551014.579231246,true,227.5,3.4,760.9
1732551014.588907201,true,226.8,3.3,756.0
1732551014.599242858,true,227.5,3.3,751.5
1732551014.608899344,true,227.5,3.3,751.5
1732551014.619151644,true,227.5,3.3,751.5
1732551014.628900690,true,227.5,3.3,751.5
1732551014.639147026,true,227.7,3.3,748.5
1732551014.648824087,true,226.9,3.3,743.8
1732551014.659075137,true,227.7,3.3,748.5
1732551014.669321561,true,227.7,3.3,748.5
1732551014.679075792,true,227.6,3.4,758.9
1732551014.688815809,true,226.8,3.3,754.0
1732551014.699076045,true,227.6,3.4,758.9
1732551014.709242276,true,227.6,3.4,758.9
1732551014.718895281,true,227.6,3.4,761.4
1732551014.729230644,true,226.9,3.3,756.5
1732551014.738907365,true,227.6,3.4,761.4
1732551014.749239177,true,227.6,3.4,761.4
1732551014.758907093,true,227.6,3.3,750.8
1732551014.769159197,true,226.9,3.3,746.0
1732551014.778907242,true,227.6,3.3,750.8
1732551014.789158100,true,227.6,3.3,750.8
1732551014.798894921,true,227.6,3.3,752.2
1732551014.809159122,true,227.6,3.3,752.2
1732551014.818815841,true,227.6,3.3,752.2
1732551014.829063045,true,226.9,3.3,747.4
1732551014.838818439,true,227.6,3.3,757.3
1732551014.849074885,true,227.6,3.3,757.3
1732551014.858823234,true,227.6,3.3,757.3
1732551014.868990721,true,227.6,3.3,757.3
1732551014.879235400,true,227.6,3.3,756.0
1732551014.888907222,true,226.9,3.3,751.2
1732551014.899238700,true,227.6,3.3,756.0
1732551014.908894264,true,227.6,3.3,756.0
1732551014.919244915,true,227.6,3.3,750.8
1732551014.928905457,true,227.6,3.3,750.8
1732551014.939158914,true,227.6,3.3,750.8
1732551014.948897812,true,226.8,3.3,746.0
1732551014.959150980,true,227.6,3.3,751.9
1732551014.968821858,true,227.6,3.3,751.9
1732551014.979074405,true,227.6,3.3,751.9
1732551014.988827139,true,226.8,3.3,747.1
1732551014.999075323,true,227.6,3.3,748.5
1732551015.008814394,true,227.6,3.3,748.5
1732551015.019074393,true,227.6,3.3,748.5
1732551015.028813609,true,227.6,3.3,748.5
1732551015.038901578,true,227.6,3.3,754.2
1732551015.048735194,true,226.9,3.3,749.4
1732551015.058894003,true,227.6,3.3,754.2
1732551015.069237832,true,227.6,3.3,754.2
1732551015.078905575,true,227.5,3.3,747.3
1732551015.089153562,true,226.7,3.3,742.6
1732551015.098905308,true,228.2,3.3,752.1
1732551015.109152697,true,226.7,3.3,742.6
